Date,Last,Open,Max,Min,Vol_K,Var_%
2016-02-09,457.38,459.13,460.25,455.13,,-0.22
2016-02-08,458.38,466.25,468.88,457.75,,-1.77
2016-02-05,466.63,473.5,474.13,465.75,,-1.27
2016-02-04,472.63,479.13,482.5,472.63,,-1.51
2016-02-03,479.88,475.63,480.13,474.63,,0.95
2016-02-02,475.38,475.75,483.0,473.25,,-0.05
2016-02-01,475.63,476.25,477.25,471.38,,-0.78
2016-01-29,479.38,472.25,479.38,470.88,,1.54
2016-01-28,472.13,476.75,476.88,470.63,,-0.89
2016-01-27,476.38,484.25,485.75,473.63,,-1.8
2016-01-26,485.13,481.63,488.5,478.13,,0.83
2016-01-25,481.13,475.75,483.75,475.75,,1.21
2016-01-22,475.38,474.75,479.75,472.63,,0.0
2016-01-21,475.38,472.38,480.0,470.5,,0.8
2016-01-20,471.63,473.0,475.38,467.38,,-0.58
2016-01-19,474.38,475.25,478.88,470.63,,0.21
2016-01-17,473.38,473.38,473.38,473.38,,0.0
2016-01-15,473.38,469.0,474.63,465.13,,0.96
2016-01-14,468.88,477.75,477.88,468.13,,-1.88
2016-01-13,477.88,480.25,483.75,476.63,,-0.73
2016-01-12,481.38,470.0,483.13,463.88,,2.61
2016-01-11,469.13,481.0,481.13,466.63,,-1.93
2016-01-08,478.38,468.13,479.63,467.63,,2.14
2016-01-07,468.38,463.5,468.88,456.38,,1.24
2016-01-06,462.63,461.5,465.63,457.0,,0.27
2016-01-05,461.38,460.38,464.63,458.63,,0.65
2016-01-04,458.38,472.5,472.5,456.13,,-2.34
2015-12-31,469.38,469.88,472.25,468.88,,-0.05
2015-12-30,469.63,476.38,479.13,469.38,,-1.31
2015-12-29,475.88,467.38,476.63,467.38,,1.98
2015-12-28,466.63,467.5,472.38,465.88,,-0.29
2015-12-27,468.0,468.0,468.0,468.0,,0.0
2015-12-24,468.0,468.63,471.63,467.38,,-0.35
2015-12-23,469.63,472.63,474.88,468.38,,-0.42
2015-12-22,471.63,479.5,482.63,471.63,,-1.57
2015-12-21,479.13,485.75,490.88,478.38,,-1.44
2015-12-18,486.13,486.13,498.88,481.38,,0.46
2015-12-17,483.88,483.5,488.13,472.38,,0.1
2015-12-16,483.38,493.13,496.75,483.38,,-2.13
2015-12-15,493.88,493.38,497.88,486.38,,0.1
2015-12-14,493.38,491.38,496.88,488.63,,0.61
2015-12-11,490.38,494.75,497.88,487.63,,-1.01
