Date,Last,Open,Max,Min,Vol_M,Var_%
2017-06-13,10882.1,10872.6,10937.0,10846.5,154.04,0.37
2017-06-12,10842.4,10929.7,10936.6,10818.5,193.1,-1.24
2017-06-09,10978.3,10947.2,11048.0,10884.7,223.09,0.23
2017-06-08,10953.1,10847.2,10981.3,10837.4,262.97,0.75
2017-06-07,10871.7,10813.6,10946.9,10761.7,276.98,-0.07
2017-06-06,10879.7,10859.0,10907.8,10817.9,403.56,-0.05
2017-06-05,10884.7,10889.6,10916.4,10842.1,297.63,-0.19
2017-06-02,10905.9,10960.0,11007.7,10879.6,426.28,0.23
2017-06-01,10881.0,10891.6,10909.1,10836.4,434.89,0.01
2017-05-31,10880.0,10885.0,10957.8,10856.2,740.25,0.03
2017-05-30,10876.9,10812.5,10918.5,10788.7,217.85,-0.07
2017-05-29,10884.0,10864.0,10915.4,10844.8,110.54,-0.19
2017-05-26,10904.2,10911.1,10918.8,10801.6,179.95,-0.31
2017-05-25,10937.7,10971.2,10983.9,10920.7,184.8,0.28
2017-05-24,10907.4,10931.2,10942.8,10882.3,204.71,-0.08
2017-05-23,10916.3,10766.3,10928.7,10756.5,238.31,1.14
2017-05-22,10793.4,10843.5,10851.0,10761.4,226.73,-0.39
2017-05-19,10835.4,10711.8,10843.6,10689.9,320.25,1.41
2017-05-18,10684.9,10727.8,10756.5,10564.3,414.32,-0.94
2017-05-17,10786.1,10925.9,10965.9,10761.3,304.08,-1.79
2017-05-16,10982.4,10959.8,10991.2,10928.3,263.76,0.22
2017-05-15,10957.8,10941.1,10960.5,10891.9,200.1,0.56
2017-05-12,10897.0,10861.9,10907.6,10836.0,262.44,0.33
2017-05-11,10861.4,11051.3,11052.6,10823.9,400.68,-1.57
2017-05-10,11034.8,11029.6,11053.5,10958.4,347.63,-0.13
2017-05-09,11049.2,11120.1,11135.1,11047.1,268.38,-0.42
2017-05-08,11096.3,11177.3,11184.4,11036.8,316.18,-0.35
2017-05-05,11135.4,10971.5,11135.4,10967.2,363.49,1.11
2017-05-04,11012.9,10872.1,11012.9,10856.4,310.82,1.62
2017-05-03,10837.0,10793.0,10841.1,10769.0,192.96,0.15
2017-05-02,10820.3,10737.7,10820.3,10719.4,225.31,0.98
2017-04-28,10715.8,10658.4,10745.5,10622.8,298.34,0.3
2017-04-27,10683.9,10718.8,10722.2,10663.3,273.46,-0.74
2017-04-26,10763.4,10810.4,10815.3,10710.9,278.42,-0.18
2017-04-25,10783.1,10786.1,10828.8,10719.0,299.93,0.15
2017-04-24,10766.8,10714.2,10769.8,10668.0,496.99,3.76
2017-04-21,10377.0,10388.6,10434.4,10307.7,325.22,0.04
2017-04-20,10372.5,10349.3,10473.9,10328.5,292.27,0.02
2017-04-19,10370.3,10272.7,10377.5,10266.0,324.42,1.03
2017-04-18,10264.5,10365.6,10370.6,10216.9,283.86,-0.6
2017-04-13,10326.1,10347.9,10350.4,10264.6,233.81,-0.33
2017-04-12,10360.5,10441.3,10486.0,10353.8,310.21,-0.54
2017-04-11,10416.3,10381.4,10463.2,10358.9,309.44,-0.21
2017-04-10,10437.7,10507.9,10509.0,10436.5,222.75,-0.87
2017-04-07,10529.0,10466.9,10529.0,10443.5,194.31,0.1
2017-04-06,10518.9,10349.6,10534.5,10322.0,230.29,1.12
2017-04-05,10402.7,10377.2,10467.3,10369.1,254.05,0.4
2017-04-04,10361.2,10304.1,10361.2,10270.3,303.65,0.35
2017-04-03,10325.3,10457.7,10457.7,10324.6,321.62,-1.32
2017-03-31,10462.9,10368.5,10462.9,10352.2,252.48,0.55
2017-03-30,10405.9,10372.1,10406.0,10348.5,207.2,0.37
2017-03-29,10367.6,10409.2,10424.5,10303.2,232.26,-0.21
2017-03-28,10389.0,10345.6,10394.8,10312.9,215.14,0.84
2017-03-27,10302.9,10218.5,10302.9,10191.1,221.94,-0.06
2017-03-24,10309.4,10312.5,10330.3,10276.2,189.56,-0.15
2017-03-23,10324.9,10248.9,10324.9,10202.0,226.58,0.93
2017-03-22,10229.3,10151.8,10268.8,10092.8,299.75,0.17
2017-03-21,10211.9,10270.5,10334.7,10188.9,313.02,-0.02
2017-03-20,10214.0,10216.7,10243.0,10189.0,188.82,-0.31
2017-03-17,10245.8,10153.0,10250.2,10143.9,452.78,0.77
2017-03-16,10168.0,10090.8,10175.3,10063.7,412.42,1.85
2017-03-15,9983.2,9931.2,10000.1,9913.2,265.81,0.79
2017-03-14,9905.1,9987.7,9995.0,9886.9,234.66,-0.91
2017-03-13,9995.9,10020.0,10023.4,9957.4,193.63,-0.1
2017-03-10,10006.4,10038.8,10091.4,9989.1,405.12,0.08
2017-03-09,9998.4,9844.9,10014.5,9837.4,390.8,1.5
2017-03-08,9850.5,9792.3,9881.3,9785.1,247.12,0.5
2017-03-07,9801.7,9817.7,9819.8,9767.4,172.06,-0.02
2017-03-06,9804.1,9772.3,9825.3,9753.9,228.4,0.06
2017-03-03,9798.5,9694.5,9799.6,9669.2,308.71,0.85
2017-03-02,9716.0,9753.1,9762.3,9715.8,275.02,-0.36
2017-03-01,9751.5,9618.0,9756.5,9616.6,351.7,2.05
2017-02-28,9555.5,9515.0,9570.7,9484.0,279.24,0.96
2017-02-27,9464.3,9494.0,9499.3,9427.7,194.24,0.11
2017-02-24,9453.5,9513.7,9530.4,9383.1,285.87,-0.42
2017-02-23,9493.4,9519.8,9541.8,9479.7,276.0,0.17
2017-02-22,9477.2,9577.7,9606.1,9439.7,280.84,-0.88
2017-02-21,9561.0,9523.6,9591.3,9467.6,209.8,0.36
2017-02-20,9526.6,9564.4,9577.7,9512.0,178.86,0.28
