,Date,Last,Open,Max,Min,Vol_K,Var_%,Index,dax_last_5_avg,dax_last_3_avg,dax_last_1
2317,2010-09-03,6134.62,6091.66,6178.01,6088.26,94000.99,0.83,dax_index,0.58,0.967,-0.0
2318,2010-09-02,6083.85,6071.56,6104.09,6052.55,96000.11,-0.0,dax_index,0.624,0.75,2.68
2319,2010-09-01,6083.9,5936.94,6087.94,5876.43,119000.79,2.68,dax_index,-0.034,0.073,0.22
2320,2010-08-31,5925.22,5846.03,5925.81,5833.51,102000.99,0.22,dax_index,-0.33,0.073,-0.65
2321,2010-08-30,5912.41,5973.48,5978.19,5889.84,57000.74,-0.65,dax_index,-0.18,0.087,0.65
2322,2010-08-27,5951.17,5899.99,5957.32,5845.49,117000.06,0.65,dax_index,-0.54,-0.55,0.22
2323,2010-08-26,5912.58,5937.27,5948.91,5896.52,90000.85,0.22,dax_index,-0.944,-0.59,-0.61
2324,2010-08-25,5899.5,5925.48,5954.96,5837.9,107000.85,-0.61,dax_index,-0.886,-0.77,-1.26
2325,2010-08-24,5935.44,5962.87,5975.83,5869.3,97000.95,-1.26,dax_index,-0.32,-0.95,0.1
2326,2010-08-23,6010.91,6017.19,6055.23,5995.37,66000.57,0.1,dax_index,-0.34,-1.09,-1.15
2327,2010-08-20,6005.16,6079.91,6097.35,5999.63,107000.09,-1.15,dax_index,-0.19,-0.183,-1.8
2328,2010-08-19,6075.13,6216.33,6229.46,6070.83,105000.08,-1.8,dax_index,0.108,0.417,-0.32
2329,2010-08-18,6186.31,6183.12,6216.55,6155.51,77000.0,-0.32,dax_index,-0.248,0.39,1.57
2330,2010-08-17,6206.4,6125.32,6215.35,6123.79,87000.9,1.57,dax_index,-0.768,-0.237,0.0
2331,2010-08-16,6110.57,6132.78,6156.57,6062.29,74000.5,0.0,dax_index,-0.474,-0.937,-0.4
2332,2010-08-13,6110.41,6163.11,6168.71,6068.82,98000.26,-0.4,dax_index,-0.628,-1.147,-0.31
2333,2010-08-12,6135.17,6141.9,6173.42,6097.72,113000.1,-0.31,dax_index,-0.558,-0.553,-2.1
2334,2010-08-11,6154.07,6234.6,6236.57,6143.58,107000.36,-2.1,dax_index,-0.064,-0.243,-1.03
2335,2010-08-10,6286.25,6315.87,6333.25,6247.62,83000.82,-1.03,dax_index,0.192,0.113,1.47
2336,2010-08-09,6351.6,6326.62,6356.41,6318.12,70000.33,1.47,dax_index,0.366,-0.253,-1.17
2337,2010-08-06,6259.63,6361.09,6386.97,6244.69,111000.2,-1.17,dax_index,0.644,0.22,0.04
2338,2010-08-05,6333.58,6332.82,6382.56,6321.38,117000.07,0.04,dax_index,0.492,0.987,0.37
2339,2010-08-04,6331.33,6287.65,6361.67,6264.28,99000.51,0.37,dax_index,0.326,0.937,0.25
2340,2010-08-03,6307.91,6279.95,6310.32,6265.61,99000.28,0.25,dax_index,0.318,0.613,2.34
2341,2010-08-02,6292.13,6187.64,6304.26,6182.68,104000.82,2.34,dax_index,-0.06,-0.32,0.22
2342,2010-07-30,6147.97,6123.41,6184.54,6059.19,105000.54,0.22,dax_index,-0.026,-0.323,-0.72
2343,2010-07-29,6134.7,6202.78,6243.42,6124.45,111000.25,-0.72,dax_index,0.624,0.067,-0.46
2344,2010-07-28,6178.94,6238.71,6249.16,6147.57,102000.64,-0.46,dax_index,0.792,0.35,0.21
2345,2010-07-27,6207.31,6211.1,6253.64,6189.96,134000.57,0.21,dax_index,0.612,1.123,0.45
2346,2010-07-26,6194.21,6201.02,6201.14,6131.91,73000.22,0.45,dax_index,0.418,1.1,0.39
2347,2010-07-23,6166.34,6125.26,6190.24,6112.5,85000.49,0.39,dax_index,-0.014,0.74,2.53
2348,2010-07-22,6142.15,5971.09,6148.13,5961.86,100000.97,2.53,dax_index,-0.714,-0.277,0.38
2349,2010-07-21,5990.38,6011.72,6060.49,5976.92,79000.69,0.38,dax_index,-0.73,-0.993,-0.69
